Link,Title
https://finance.yahoo.com/news/pinterest-announce-board-member-day-035124170.html,Pinterest Delays New Board Member as Workers Protest
https://techcrunch.com/2020/08/14/human-capital-a-timeline-of-uber-and-lyfts-fight-against-ab-5-and-pinterests-fall-from-grace/,Human Capital: A timeline of Uber and Lyft’s fight against AB 5 and Pinterest’s fall from grace
https://techcrunch.com/2020/08/14/pinterest-employees-are-walking-out-today-in-light-of-discrimination-allegations/,Pinterest employees are walking out today in light of discrimination allegations
https://www.fool.com/investing/2020/08/14/7-top-stocks-to-play-3-hot-trends-in-2021/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,7 Top Stocks to Play 3 Hot Trends in 2021
https://finance.yahoo.com/news/pinterest-inc-pins-chairman-president-041502649.html,"Pinterest Inc (PINS) Chairman, President, CEO, Co-F Benjamin Silbermann Sold $8.7 million of Shares"
https://finance.yahoo.com/news/investor-alert-scott-scott-attorneys-193000771.html,"INVESTOR ALERT: Scott+Scott Attorneys at Law LLP Investigates Pinterest, Inc.'s Directors and Officers for Breach of Fiduciary Duties - PINS"
https://www.marketwatch.com/story/former-coo-sues-pinterest-for-gender-discrimination-describes-culture-of-misogyny-11597289569?siteid=yhoof2&yptr=yahoo,"Former COO sues Pinterest for gender discrimination, describes culture of ‘misogyny’"
https://www.fool.com/investing/2020/08/12/pinterest-ex-coo-sues-the-company-for-gender-discr/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Pinterest Ex-COO Sues the Company for Gender Discrimination
https://finance.yahoo.com/news/pinterest-sued-former-coo-allegations-082533721.html,Pinterest Sued By Former COO On Allegations Of Gender Discrimination
https://techcrunch.com/2020/08/11/former-coo-sues-pinterest-accusing-it-of-gender-discrimination-retaliation-and-wrongful-termination/,"Former COO sues Pinterest, accusing it of gender discrimination, retaliation and wrongful termination"
https://finance.yahoo.com/news/pinterest-detect-more-skin-tones-212140734.html,Pinterest Can Detect More Skin Tones Now
https://finance.yahoo.com/news/top-stock-picks-week-august-175905400.html,"Top Stock Picks for Week of August 10, 2020"
https://www.investopedia.com/traders-look-to-the-ipo-market-for-their-next-idea-5074430?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral&yptr=yahoo,Traders Look to the IPO Market for Their Next Idea
https://finance.yahoo.com/news/pinterest-announces-videos-updates-inspire-000000548.html,Pinterest Announces Videos Updates to Inspire Audiences in India to take Action on Ideas
https://www.fool.com/investing/2020/08/10/why-pinterest-stock-made-gains-today.aspx?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Why Pinterest Stock Made Gains Today
