Date,Open,High,Low Close*,Adj Close**,Volume,3day_before_change
"Nov 04, 2019",23.06,23.63,23.03,23.5,490600,1.023519163763066
"Nov 01, 2019",23,23.69,22.71,22.96,476500,1.019538188277087
"Oct 31, 2019",22.82,23.6,22.26,22.99,490300,0.9812206572769953
"Oct 30, 2019",22.56,23.23,21.8,22.88,982000,-
"Oct 29, 2019",23.65,23.9,22.39,22.52,808800,-
"Oct 28, 2019",24.83,24.9,23.39,23.43,843200,0.9489671931956257
"Oct 25, 2019",24.7,25.19,23.86,24.69,663100,1.0168863261943988
"Oct 24, 2019",23.9,25.8,23.82,24.62,1009600,0.9879614767255216
"Oct 23, 2019",24,24.66,23.48,23.62,1215200,-
"Oct 22, 2019",24.98,25.09,24.1,24.28,1136200,-
"Oct 21, 2019",25.29,25.62,23.77,24.92,1047600,0.9791748526522595
"Oct 18, 2019",26.2,26.28,24.77,25.45,1080000,0.9278162595698141
"Oct 17, 2019",26.67,26.92,26.01,26.51,844900,1.0022684310018903
"Oct 16, 2019",26.83,27.47,26.73,27.07,1116600,-
"Oct 15, 2019",26.9,27.67,26.11,27.43,1415700,-
"Oct 14, 2019",26.09,26.61,25.65,26.45,743000,1.0137983901878114
"Oct 11, 2019",26.11,26.92,25.99,26.09,814200,0.9886320575975748
"Oct 10, 2019",26.47,26.69,25.21,26,2110600,0.9723261032161556
"Oct 09, 2019",26.57,26.95,25.92,26.53,1962000,-
"Oct 08, 2019",26,26.45,24.8,26.39,5957500,-
"Oct 07, 2019",27.49,27.62,26.65,26.74,801000,0.9653429602888086
"Oct 04, 2019",27.8,28.11,27.4,27.7,280500,0.9805309734513274
"Oct 03, 2019",27.5,28.16,26.69,27.92,1337400,0.9883185840707965
"Oct 02, 2019",27.77,28.14,27.25,27.25,439000,-
"Oct 01, 2019",28.2,29.21,27.81,28.25,326100,-
"Sep 30, 2019",28.26,28.87,27.7,28.25,454000,1.0003541076487252
"Sep 27, 2019",29.99,30,27.89,28.24,487300,0.9737931034482759
"Sep 26, 2019",27.86,29.87,27.86,29.29,905200,0.921648835745752
"Sep 25, 2019",28.81,29.02,27.71,28.15,755000,-
"Sep 24, 2019",31.44,31.78,28.05,29,1144400,-
"Sep 23, 2019",29.42,31.85,28.68,31.78,789800,1.0682352941176472
"Sep 20, 2019",29.81,30.36,29.15,29.75,665400,0.971269996735227
"Sep 19, 2019",30.31,30.64,28.85,29.28,353800,0.9540566959921799
"Sep 18, 2019",30.63,31.09,30.06,30.44,349300,-
"Sep 17, 2019",30.75,31.32,30.22,30.63,273400,-
"Sep 16, 2019",29.43,31.31,29.29,30.69,371800,1.0247078464106845
"Sep 13, 2019",31.9,32.1,29.73,29.95,567500,1.0910746812386156
"Sep 12, 2019",31.35,32.54,30.47,31.35,745900,1.1097345132743364
"Sep 11, 2019",27.5,31.5,27.48,31.47,1589600,-
"Sep 10, 2019",28.42,29.25,26.98,27.45,1704600,-
"Sep 09, 2019",32.7,33.11,27.82,28.25,2372800,0.8700338774253157
"Sep 06, 2019",33.95,34.89,31.89,32.47,3206000,0.8642533936651583
"Sep 05, 2019",38.56,38.85,36.28,36.6,1372300,-
"Sep 04, 2019",37.54,38.71,37.51,38.04,692800,-
"Sep 03, 2019",38.65,39.58,37.39,37.57,1712300,-
"Aug 30, 2019",39,39.56,38.11,39.27,1386600,1.1055743243243243
"Aug 29, 2019",36.37,38.97,36.3,38.41,766500,1.0789325842696629
"Aug 28, 2019",35.5,36.1,35.06,35.95,291700,-
"Aug 27, 2019",35.76,36.38,35.2,35.52,310500,-
"Aug 26, 2019",35.04,35.99,34.91,35.6,368600,1.02122776821572
"Aug 23, 2019",35.68,35.95,34.72,34.86,243800,1.0104347826086957
"Aug 22, 2019",35.19,35.96,34.51,35.82,435200,1.0112930547713157
"Aug 21, 2019",34.58,36.43,34.5,35.03,310100,-
"Aug 20, 2019",35.14,35.26,33.85,34.5,604600,-
"Aug 19, 2019",35,35.88,33.28,35.42,604300,1.0213379469434833
"Aug 16, 2019",33.96,36.6,33.88,34.68,747800,0.9580110497237568
"Aug 15, 2019",35.81,35.81,33.25,33.75,1025800,0.9231400437636761
"Aug 14, 2019",36.48,37.21,34.85,35.75,567000,-
"Aug 13, 2019",36.02,36.84,34.75,36.2,648900,-
"Aug 12, 2019",37.42,37.44,36.17,36.56,367900,0.9723404255319149
"Aug 09, 2019",39.99,40.56,37.05,37.6,428000,1.018970189701897
"Aug 08, 2019",38.04,40.11,38.04,40.07,795700,1.0654081361340069
"Aug 07, 2019",36.29,37.85,35.9,37.59,200900,-
"Aug 06, 2019",38.76,39.19,36.35,36.9,669100,-
"Aug 05, 2019",38.1,39.31,36.31,37.61,824600,0.9538422520923154
"Aug 02, 2019",41.57,41.57,39.3,39.43,613900,0.8770017793594306
"Aug 01, 2019",43.9,44.18,41.17,41.7,496800,0.9466515323496029
"Jul 31, 2019",44.77,45.06,43.01,44.2,474300,-
"Jul 30, 2019",43.36,45.12,42.72,44.96,295900,-
"Jul 29, 2019",45.67,45.68,43.18,44.05,490300,0.9643169877408055
"Jul 26, 2019",43.73,45.99,43.34,45.68,419800,1.0346545866364667
"Jul 25, 2019",44.66,44.93,43.22,43.5,440400,0.932475884244373
"Jul 24, 2019",44.6,45.43,43.07,44.94,642100,-
"Jul 23, 2019",46.8,47.19,43.7,44.15,1252500,-
"Jul 22, 2019",46.58,48.73,46.05,46.65,576000,1.0077770576798444
"Jul 19, 2019",45.18,47.55,45.05,46.29,735400,0.953646477132262
"Jul 18, 2019",47.6,47.61,44.91,44.91,660600,0.9045317220543806
"Jul 17, 2019",48.5,48.88,46.68,47.69,605400,-
"Jul 16, 2019",49.56,49.69,47.92,48.54,400400,-
"Jul 15, 2019",49.44,50.36,49.01,49.65,598300,1.0220255249073693
